,company_names,rating_new,employer_size,industry,review,salaries,jobs,location
250,Publix,3.8,10000+ Employees,Grocery Stores,18T,32,459,2 office locations
251,Bath & Body Works,3.7,10000+ Employees,Beauty & Personal Accessories Stores,9.8T,42,1.4T,3 Limited Parkway 
252,Aloha Technology,3.6,501 to 1000 Employees,Information Technology Support Services,495,481,5,"Pune, MH"
253,Tessolve,3.9,1001 to 5000 Employees,Architectural & Engineering Services,507,443,21,9 office locations
254,Apollo Tyres,4.0,501 to 1000 Employees,Machinery Manufacturing,607,545,44,"Headquarters in Gurgaon, India"
255,Naukri.com,3.8,1001 to 5000 Employees,N/A,535,575,5,"Headquarters in Noida, India"
256,Nationwide,3.9,10000+ Employees,Insurance Carriers,5.4T,50,122,35 office locations
257,Hindustan Coca Cola Beverages,4.0,5001 to 10000 Employees,Food & Beverage Manufacturing,639,520,--,"Headquarters in Gurgaon, India"
258,Eastman,3.8,10000+ Employees,Chemical Manufacturing,2.5T,96,103,18 office locations
259,Autoliv,3.6,10000+ Employees,Transportation Equipment Manufacturing,1.2T,177,247,15 office locations
260,Burson Cohn & Wolfe,3.5,1001 to 5000 Employees,Advertising & Public Relations,939,193,60,12 office locations
261,MSys Technologies,4.2,501 to 1000 Employees,Information Technology Support Services,586,499,12,5 office locations
262,Slide Inc,4.3,51 to 200 Employees,Internet & Web Services,1T,246,1.6T,"San Francisco, CA"
263,Advantage Solutions,3.5,10000+ Employees,Advertising & Public Relations,4.8T,60,2.2T,25 office locations
264,Schbang,3.7,1001 to 5000 Employees,Advertising & Public Relations,488,652,28,3 office locations
265,Turner Construction,4.2,5001 to 10000 Employees,Construction,2.2T,98,393,49 office locations
266,MiQ,3.5,501 to 1000 Employees,Advertising & Public Relations,423,414,49,"Headquarters in London, United Kingdom"
267,Institutional Shareholder Services,3.5,1001 to 5000 Employees,Research & Development,845,220,127,7 office locations
268,BDO USA,3.7,5001 to 10000 Employees,Accounting & Tax,2.6T,73,1,65 office locations
269,Magnit,3.6,1001 to 5000 Employees,HR Consulting,1.6T,157,75,"Folsom, CA"
270,CEDCOSS,3.7,1001 to 5000 Employees,Information Technology Support Services,553,473,2,"3/460, Vishwas Khand, Gomti Nagar "
271,Aricent Technologies,3.9,Unknown,Consumer Product Manufacturing,579,605,--,"Headquarters in Gurgaon, India"
